YearMonth,Total Sessions,Total Pageviews,(Other),Direct,Display,Organic Search,Paid Search,Referral,Social
2017-05,354,1220,0,225,0,18,33,66,12
2017-06,993,2320,0,426,0,78,258,222,9
2017-07,1089,1646,0,285,0,36,528,234,6
2017-08,1236,2432,0,297,12,84,489,354,0
2017-09,1200,2326,0,336,3,180,462,216,3
2017-10,20541,19320,0,15375,18,285,642,228,3993
2017-11,6801,11626,0,3738,3,405,372,258,2025
2017-12,7218,11594,3,2283,9,717,540,558,3108
2018-01,9588,17582,3,2643,18,1881,906,738,3399
2018-02,9597,17836,0,2838,6,2118,597,921,3117
2018-03,13098,25924,0,3429,60,3075,1026,1293,4215
2018-04,12051,25048,0,3858,108,2910,969,1641,2565
2018-05,10929,19758,0,2928,138,2721,924,1167,3051
2018-06,11949,24200,3,3099,306,2940,1242,1023,3336
2018-07,15348,31626,3,4779,174,3330,1527,1413,4122
2018-08,15981,31034,0,4320,114,4119,1218,1950,4260
2018-09,15732,32864,0,3678,87,5640,990,1914,3423
2018-10,18105,38744,0,4818,1125,6642,1155,1533,2832
2018-11,19086,37864,0,6780,87,7248,1047,1461,2463
2018-12,14682,31976,0,3873,0,6630,909,1260,2010
2019-01,18945,46628,0,4662,9,8847,846,2031,2550
2019-02,20802,53752,0,5715,6,9216,891,2376,2598
2019-03,20820,55222,0,5928,3,9396,1005,2568,1920
2019-04,23556,54328,0,8979,3,9390,1275,2361,1548
2019-05,20967,52674,0,5442,0,11070,1128,1971,1356
2019-06,21819,54752,0,5703,0,11700,1263,1794,1359
2019-07,24726,60764,0,5004,0,14757,1371,2529,1065
2019-08,28710,67650,0,5205,0,18147,1461,2685,1212
